,Canada,LNG_Export,Mexico,Midwest,Mountain,Northeast,Pacific,South_Central,Southeast
Canada,1500000,0,0,182940,215760,136050,54960,0,0
GOM,0,0,0,0,0,0,0,680130,0
Mexico,0,0,1500000,0,0,0,18420,27750,0
Midwest,148050,0,0,1500000,6840,429660,0,305190,6660
Mountain,3330,0,21390,247950,1500000,0,393540,188070,0
Northeast,62970,0,0,525480,0,1500000,0,0,93600
Pacific,1530,0,27750,0,41910,0,1500000,0,0
South_Central,0,0,283710,658320,289260,0,0,1500000,391740
Southeast,0,0,0,4530,0,91050,0,51000,1500000
